URL,Normalized URL,Mapping Raw URLs,Mapping Row Count (Raw),Mapping Row Count (Dedup),Top Keyword 1,Top Keyword 1 Source Row,Top Keyword 2,Top Keyword 2 Source Row,Top Keyword 3,Top Keyword 3 Source Row,Exact Count,Partial Count,Optimize Count,None Action Count,Topic Cluster,Metadata Raw URL,Metadata Title Raw,Metadata Description Raw,Metadata H1 Raw,L3M Raw URL,L3M Raw Δ Clicks % (col5),L3M Raw Δ Impr % (col8),L3M Raw Δ Engaged Sessions % (col11),L3M Raw Δ Users % (col14),L3M Raw Δ Conv % (col17),L3M Parsed Δ Clicks %,L3M Parsed Δ Impr %,L3M Parsed Δ Engaged Sessions %,L3M Parsed Δ Users %,L3M Parsed Δ Conv %,YoY Raw URL,YoY Raw Δ Clicks % (col5),YoY Raw Δ Impr % (col8),YoY Raw Δ Engaged Sessions % (col11),YoY Raw Δ Users % (col14),YoY Raw Δ Conv % (col17),YoY Parsed Δ Clicks %,YoY Parsed Δ Impr %,YoY Parsed Δ Engaged Sessions %,YoY Parsed Δ Users %,YoY Parsed Δ Conv %,Metrics Available (out of 10),Data Confidence,Parse Warnings
https://omnipress.com/about-us/,https://omnipress.com/about-us,https://omnipress.com/about-us/,1,1,about omnipress,311,,,,,1,0,1,0,Brand,https://omnipress.com/about-us/,About Omnipress - Omnipress,"Learn about Omnipress—providing print and technology solutions for conferences, training programs, and publications with exceptional service and expertise.",About Omnipress,https://omnipress.com/about-us/,-31%,-8%,#N/A,#N/A,#N/A,-31.00,-8.00,,,,https://omnipress.com/about-us/,-31%,-16%,#N/A,#N/A,#N/A,-31.00,-16.00,,,,4,Low,Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/abstract-and-application-management/,https://omnipress.com/abstract-and-application-management,https://omnipress.com/abstract-and-application-management/,19,19,abstract management,3,application management system,4,abstract management software,5,1,18,19,0,Abstract & Application Management,https://omnipress.com/abstract-and-application-management/,Abstract and Application Management Software | Omnipress,"Abstract and application management software that supports submission collection, review workflows, scoring, and decision-making for conferences and programs.",Abstract and Application Management Software,https://omnipress.com/abstract-and-application-management/,N/A,139%,200%,76.92%,N/A,,139.00,200.00,76.92,,https://omnipress.com/abstract-and-application-management/,N/A,278%,-37%,-35%,N/A,,278.00,-37.00,-35.00,,6,Medium,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/application-management/,https://omnipress.com/application-management,https://omnipress.com/application-management/,8,8,management application,27,grant application management,36,online application management system,37,2,6,8,0,Application Management,https://omnipress.com/application-management/,CATALYST® Application Management Software | Omnipress,"Application management software for grants, scholarships, and awards programs. Streamline submissions, reviews, and decisions with a flexible platform.",CATALYST® Application Management Software,https://omnipress.com/application-management/,60%,-25%,#N/A,#N/A,#N/A,60.00,-25.00,,,,https://omnipress.com/application-management/,60%,17%,#N/A,#N/A,#N/A,60.00,17.00,,,,4,Low,Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/application-management/awards-management/,https://omnipress.com/application-management/awards-management,https://omnipress.com/application-management/awards-management/,10,10,award management software,25,submission management software,28,awards management system,29,2,8,10,0,Application Management,https://omnipress.com/application-management/awards-management/,CATALYST® Awards Management Software | Omnipress,"CATALYST® awards management software simplifies nominations, judging, and award selection. Run fair, efficient programs with Omnipress.",Awards Management Software,https://omnipress.com/application-management/awards-management/,167%,30%,20%,14.29%,N/A,167.00,30.00,20.00,14.29,,https://omnipress.com/application-management/awards-management/,167%,36%,-25%,0%,N/A,167.00,36.00,-25.00,0.00,,8,High,Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/application-management/awards-management/request-quote/,https://omnipress.com/application-management/awards-management/request-quote,https://omnipress.com/application-management/awards-management/request-quote/,2,1,awards management,53,,,,,1,0,1,0,Application Management,https://omnipress.com/application-management/awards-management/request-quote/,Request a Quote | CATALYST® Awards Management,Get a customized quote for CATALYST® awards management software. Share your program details and our team will provide pricing tailored to your needs.,,https://omnipress.com/application-management/awards-management/request-quote/,N/A,143%,N/A,100.00%,N/A,,143.00,,100.00,,https://omnipress.com/application-management/awards-management/request-quote/,N/A,N/A,N/A,N/A,N/A,,,,,,2,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='N/A' | Unparsed metric: YoY Users raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/application-management/awards-management/schedule-a-demo/,https://omnipress.com/application-management/awards-management/schedule-a-demo,https://omnipress.com/application-management/awards-management/schedule-a-demo/,2,1,awards management,54,,,,,1,0,1,0,Application Management,https://omnipress.com/application-management/awards-management/schedule-a-demo/,Schedule a Demo | Awards Management Software,"See CATALYST® in action. Schedule a demo of our awards management software to explore features, ask questions, and discover how it can simplify judging.",,https://omnipress.com/application-management/awards-management/schedule-a-demo/,N/A,60%,#N/A,#N/A,#N/A,,60.00,,,,https://omnipress.com/application-management/awards-management/schedule-a-demo/,N/A,N/A,#N/A,#N/A,#N/A,,,,,,1,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/application-management/grants-management/,https://omnipress.com/application-management/grants-management,https://omnipress.com/application-management/grants-management/,2,2,grants management dashboard,30,grants management system software,52,,,0,2,2,0,Application Management,https://omnipress.com/application-management/grants-management/,CATALYST® Grants Management Software | Omnipress,"CATALYST® grants management software simplifies grant applications, reviews, and funding decisions. Run efficient grant programs with Omnipress.",Grants Management Software,https://omnipress.com/application-management/grants-management/,0%,-38%,50%,40.00%,N/A,0.00,-38.00,50.00,40.00,,https://omnipress.com/application-management/grants-management/,0%,-72%,0%,11%,N/A,0.00,-72.00,0.00,11.00,,8,High,Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/application-management/grants-management/request-quote/,https://omnipress.com/application-management/grants-management/request-quote,https://omnipress.com/application-management/grants-management/request-quote/,2,1,grants management system software,55,,,,,0,1,1,0,Application Management,https://omnipress.com/application-management/grants-management/request-quote/,Request a Quote | Grants Management Software,Get a customized quote for CATALYST® grants management software. Share your program details and our team will provide pricing tailored to your needs.,,https://omnipress.com/application-management/grants-management/request-quote/,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,https://omnipress.com/application-management/grants-management/request-quote/,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,0,Low,Unparsed metric: L3M Clicks raw='#N/A' | Unparsed metric: L3M Impr raw='#N/A' | Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Clicks raw='#N/A' | Unparsed metric: YoY Impr raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/application-management/grants-management/schedule-demo/,https://omnipress.com/application-management/grants-management/schedule-demo,https://omnipress.com/application-management/grants-management/schedule-demo/,2,1,grants management system software,56,,,,,0,1,1,0,Application Management,https://omnipress.com/application-management/grants-management/schedule-demo/,Schedule a Demo | Grants Management Software,"See CATALYST® in action. Schedule a demo of our grants management software to explore features, ask questions, and discover how it can simplify reviews.",,https://omnipress.com/application-management/grants-management/schedule-demo/,N/A,600%,#N/A,#N/A,#N/A,,600.00,,,,https://omnipress.com/application-management/grants-management/schedule-demo/,N/A,N/A,#N/A,#N/A,#N/A,,,,,,1,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/application-management/request-quote/,https://omnipress.com/application-management/request-quote,https://omnipress.com/application-management/request-quote/,2,1,management application,57,,,,,0,1,1,0,Application Management,https://omnipress.com/application-management/request-quote/,Request a Quote | CATALYST® Application Management,Get a customized quote for CATALYST® Application Management. Share your program details and our team will provide pricing tailored to your needs.,,https://omnipress.com/application-management/request-quote/,N/A,100%,#N/A,#N/A,#N/A,,100.00,,,,https://omnipress.com/application-management/request-quote/,N/A,N/A,#N/A,#N/A,#N/A,,,,,,1,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/application-management/schedule-demo/,https://omnipress.com/application-management/schedule-demo,https://omnipress.com/application-management/schedule-demo/,2,1,management application,58,,,,,0,1,1,0,Application Management,https://omnipress.com/application-management/schedule-demo/,Schedule a Demo | CATALYST® Application Management,"See CATALYST® in action. Schedule a live demo to explore features, ask questions, and discover how it can streamline your application process.",,https://omnipress.com/application-management/schedule-demo/,N/A,35%,100%,0.00%,N/A,,35.00,100.00,0.00,,https://omnipress.com/application-management/schedule-demo/,N/A,N/A,N/A,N/A,N/A,,,,,,3,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='N/A' | Unparsed metric: YoY Users raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/application-management/scholarship-management/,https://omnipress.com/application-management/scholarship-management,https://omnipress.com/application-management/scholarship-management/,12,12,scholarship management services,23,scholarship management system,24,scholarship software,26,1,11,12,0,Application Management,https://omnipress.com/application-management/scholarship-management/,CATALYST® Scholarship Management Software | Omnipress,"CATALYST® scholarship management software simplifies applications, reviews, and award decisions. Manage scholarship programs efficiently with Omnipress.",Scholarship Management Software,https://omnipress.com/application-management/scholarship-management/,N/A,5%,N/A,100.00%,N/A,,5.00,,100.00,,https://omnipress.com/application-management/scholarship-management/,N/A,-25%,13%,25%,N/A,,-25.00,13.00,25.00,,5,Medium,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/application-management/scholarship-management/request-quote/,https://omnipress.com/application-management/scholarship-management/request-quote,https://omnipress.com/application-management/scholarship-management/request-quote/,2,1,scholarship management,59,,,,,1,0,1,0,Application Management,https://omnipress.com/application-management/scholarship-management/request-quote/,Request a Quote | Scholarship Management Software,Get a customized quote for CATALYST® scholarship management software. Share your program details and our team will provide pricing tailored to your needs.,,https://omnipress.com/application-management/scholarship-management/request-quote/,N/A,N/A,#N/A,#N/A,#N/A,,,,,,https://omnipress.com/application-management/scholarship-management/request-quote/,N/A,N/A,#N/A,#N/A,#N/A,,,,,,0,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Impr raw='N/A' | Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/application-management/scholarship-management/schedule-demo/,https://omnipress.com/application-management/scholarship-management/schedule-demo,https://omnipress.com/application-management/scholarship-management/schedule-demo/,2,1,scholarship management,60,,,,,1,0,1,0,Application Management,https://omnipress.com/application-management/scholarship-management/schedule-demo/,Schedule a Demo | Scholarship Management Software,"See CATALYST® in action. Schedule a demo of our scholarship management software to explore features, ask questions, and discover how it can simplify reviews.",,https://omnipress.com/application-management/scholarship-management/schedule-demo/,N/A,900%,N/A,100.00%,N/A,,900.00,,100.00,,https://omnipress.com/application-management/scholarship-management/schedule-demo/,N/A,N/A,N/A,N/A,N/A,,,,,,2,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='N/A' | Unparsed metric: YoY Users raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/bindings-tabs-finishes/,https://omnipress.com/bindings-tabs-finishes,https://omnipress.com/bindings-tabs-finishes/,35,35,binding booklets,69,binded booklet,70,booklet tabs,71,1,34,35,0,Bindings Tabs Finishes,https://omnipress.com/bindings-tabs-finishes/,Binding Options for Printed Materials | Omnipress Printing Services,"Explore binding options for printed materials, including training manuals, conference books, and publications. Discover finishes and tabs to complete your project.",Binding Options for Printed Materials,https://omnipress.com/bindings-tabs-finishes/,-11%,13%,#N/A,#N/A,#N/A,-11.00,13.00,,,,https://omnipress.com/bindings-tabs-finishes/,-11%,-28%,#N/A,#N/A,#N/A,-11.00,-28.00,,,,4,Low,Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/bindings-tabs-finishes/request-for-information/,https://omnipress.com/bindings-tabs-finishes/request-for-information,https://omnipress.com/bindings-tabs-finishes/request-for-information/,2,2,custom book tabs,98,customizable book tabs,99,,,0,2,2,0,Bindings Tabs Finishes,https://omnipress.com/bindings-tabs-finishes/request-for-information/,"Bindings, Tabs, & Finishes Request for Information - Omnipress",,,https://omnipress.com/bindings-tabs-finishes/request-for-information/,N/A,0%,0%,N/A,N/A,,0.00,0.00,,,https://omnipress.com/bindings-tabs-finishes/request-for-information/,N/A,N/A,-75%,N/A,N/A,,,-75.00,,,3,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Users raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Users raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/careers/,https://omnipress.com/careers,https://omnipress.com/careers/,2,2,Careers omnipress,276,careers,309,,,1,1,2,0,Careers,https://omnipress.com/careers/,Careers At Omnipress - Omnipress,"Join the Omnipress team! We are a group of service-minded professionals working to help associations to deliver education through technology and print solutions for conference content, training materials and association publications.",Careers At Omnipress,https://omnipress.com/careers/,-47%,-26%,#N/A,#N/A,#N/A,-47.00,-26.00,,,,https://omnipress.com/careers/,-47%,-41%,#N/A,#N/A,#N/A,-47.00,-41.00,,,,4,Low,Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/careers/omnipress-application-form/,https://omnipress.com/careers/omnipress-application-form,https://omnipress.com/careers/omnipress-application-form/,3,3,application for employment,305,application form,306,careers omnipress application form,307,3,0,3,0,Careers,https://omnipress.com/careers/omnipress-application-form/,Application For Employment - Omnipress,,Application For Employment,https://omnipress.com/careers/omnipress-application-form/,-67%,-21%,-50%,0.00%,N/A,-67.00,-21.00,-50.00,0.00,,https://omnipress.com/careers/omnipress-application-form/,-67%,37%,-21%,-43%,N/A,-67.00,37.00,-21.00,-43.00,,8,High,Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/conferences/,https://omnipress.com/conferences,https://omnipress.com/conferences/,9,9,conference booklet,127,agenda booklet,130,conference brochure,132,0,9,9,0,Conferences,https://omnipress.com/conferences/,Conference Printing and Event Technology | Omnipress,"Conference printing services and event technology to collect, review, schedule, and publish program content. Explore conference solutions from Omnipress.",Conference Content,https://omnipress.com/conferences/,0%,26%,#N/A,#N/A,#N/A,0.00,26.00,,,,https://omnipress.com/conferences/,0%,65%,#N/A,#N/A,#N/A,0.00,65.00,,,,4,Low,Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/conferences/abstract-management/,https://omnipress.com/conferences/abstract-management,https://omnipress.com/conferences/abstract-management/,2,1,abstract management software,160,,,,,1,0,1,0,Conferences,https://omnipress.com/conferences/abstract-management/,Abstract Management Software for Conferences | Omnipress,"CATALYST is abstract management software for conferences, supporting submission collection, peer review, scheduling, and publication from start to finish.",CATALYST® Abstract Management Software,https://omnipress.com/conferences/abstract-management/,-5%,13%,#N/A,#N/A,#N/A,-5.00,13.00,,,,https://omnipress.com/conferences/abstract-management/,-5%,-9%,#N/A,#N/A,#N/A,-5.00,-9.00,,,,4,Low,Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/conferences/abstract-management/catalyst-features-videos/,https://omnipress.com/conferences/abstract-management/catalyst-features-videos,https://omnipress.com/conferences/abstract-management/catalyst-features-videos/,1,1,features videos,310,,,,,1,0,1,0,Conferences,https://omnipress.com/conferences/abstract-management/catalyst-features-videos/,CATALYST Features Videos - Omnipress,"Browse our library of short videos, each highlighting a specific feature of CATALYST abstract management system designed to make your next call for abstract so much simpler.",CATALYST® Abstract Management System Features Videos,https://omnipress.com/conferences/abstract-management/catalyst-features-videos/,N/A,-33%,N/A,100.00%,N/A,,-33.00,,100.00,,https://omnipress.com/conferences/abstract-management/catalyst-features-videos/,N/A,-56%,N/A,N/A,N/A,,-56.00,,,,3,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Engaged raw='N/A' | Unparsed metric: YoY Users raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/conferences/abstract-management/catalyst-quick-tips/,https://omnipress.com/conferences/abstract-management/catalyst-quick-tips,https://omnipress.com/conferences/abstract-management/catalyst-quick-tips/,5,5,abstract management catalyst quick,263,abstract management quick tips,261,checklist abstract management quick tips,264,1,4,5,0,Conferences,https://omnipress.com/conferences/abstract-management/catalyst-quick-tips/,CATALYST Quick Tips - Omnipress,"Browse our library of short videos, each offering a different tip to help you make your call for papers run as smooth as possible.",Abstract Management Quick Tips Videos,https://omnipress.com/conferences/abstract-management/catalyst-quick-tips/,N/A,467%,#N/A,#N/A,#N/A,,467.00,,,,https://omnipress.com/conferences/abstract-management/catalyst-quick-tips/,N/A,325%,#N/A,#N/A,#N/A,,325.00,,,,2,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/conferences/abstract-management/pricing/,https://omnipress.com/conferences/abstract-management/pricing,https://omnipress.com/conferences/abstract-management/pricing/,1,1,online abstract submission software,148,,,,,0,1,1,0,Conferences,https://omnipress.com/conferences/abstract-management/pricing/,Catalyst Cost Calculator - Omnipress,Use Omnipress’s cost calculator to explore pricing for abstract management software. See what’s included in the base package and review optional add-ons to customize your conference needs.,CATALYST® Abstract Management Software Pricing,https://omnipress.com/conferences/abstract-management/pricing/,N/A,24%,-100%,N/A,N/A,,24.00,-100.00,,,https://omnipress.com/conferences/abstract-management/pricing/,N/A,-75%,-100%,-100%,N/A,,-75.00,-100.00,-100.00,,5,Medium,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Users raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/conferences/abstract-management/request-for-demo/,https://omnipress.com/conferences/abstract-management/request-for-demo,https://omnipress.com/conferences/abstract-management/request-for-demo/,4,4,abstract management systems,118,online abstract management,120,event management abstract,146,0,4,4,0,Conferences,https://omnipress.com/conferences/abstract-management/request-for-demo/,CATALYST® Abstract Management Software Request for Demo - Omnipress,"Looking for an easier way to manage your next call for abstracts? Share your contact info (we keep it private!), and a conference specialist will reach out.",,https://omnipress.com/conferences/abstract-management/request-for-demo/,N/A,-25%,-100%,0.00%,N/A,,-25.00,-100.00,0.00,,https://omnipress.com/conferences/abstract-management/request-for-demo/,N/A,-38%,N/A,N/A,N/A,,-38.00,,,,4,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Engaged raw='N/A' | Unparsed metric: YoY Users raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/conferences/conference-printing/,https://omnipress.com/conferences/conference-printing,https://omnipress.com/conferences/conference-printing/,2,1,conference printing,161,,,,,1,0,0,1,Conferences,https://omnipress.com/conferences/conference-printing/,Conference Printing & Program Booklets | Omnipress,"Looking for conference printing services? Omnipress prints program booklets, proceedings, and event materials with dependable turnaround.",Conference Printing Services,https://omnipress.com/conferences/conference-printing/,-17%,23%,#N/A,#N/A,#N/A,-17.00,23.00,,,,https://omnipress.com/conferences/conference-printing/,-17%,-16%,#N/A,#N/A,#N/A,-17.00,-16.00,,,,4,Low,Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/conferences/conference-printing/request-for-quote/,https://omnipress.com/conferences/conference-printing/request-for-quote,https://omnipress.com/conferences/conference-printing/request-for-quote/,13,13,printing programs,112,printing programmes,115,program booklet printing,126,4,9,12,1,Conferences,https://omnipress.com/conferences/conference-printing/request-for-quote/,Conference & Event Program Printing Request for Quote - Omnipress,,,https://omnipress.com/conferences/conference-printing/request-for-quote/,N/A,-30%,-80%,N/A,N/A,,-30.00,-80.00,,,https://omnipress.com/conferences/conference-printing/request-for-quote/,N/A,40%,N/A,N/A,N/A,,40.00,,,,3,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Users raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Engaged raw='N/A' | Unparsed metric: YoY Users raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/conferences/digital-conference-flipbook/,https://omnipress.com/conferences/digital-conference-flipbook,https://omnipress.com/conferences/digital-conference-flipbook/,9,9,digital flipbook,107,conference mobile apps,109,conference mobile application,113,0,9,9,0,Conferences,https://omnipress.com/conferences/digital-conference-flipbook/,Digital Conference Flipbook | Omnipress,A digital conference flipbook that turns printed event programs into interactive online publications. View flipbook solutions from Omnipress.,Digital Conference Flipbook,https://omnipress.com/conferences/digital-conference-flipbook/,-55%,-31%,-41%,-88.89%,N/A,-55.00,-31.00,-41.00,-88.89,,https://omnipress.com/conferences/digital-conference-flipbook/,-55%,-74%,-59%,-59%,N/A,-55.00,-74.00,-59.00,-59.00,,8,High,Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
