Map ID,Content Role,Ideal URL Structure,Target Seed Keyword,Ideal Title Tag,Ideal H1 Tag
1,Home Page,/,{brand},{Brand} | {state} Divorce & Family Law Firm,{state} Divorce & Family Law Firm
2,Divorce,.com/{state}/divorce/,divorce in {state},Divorce in {state} | {Brand},{state} Divorce
3,Child Custody,.com/{state}/child-custody/,child custody in {state},Child Custody in {state} | {Brand},{state} Child Custody
4,Child Support,.com/{state}/child-support/,child support in {state},Child Support in {state} | {Brand},{state} Child Support
5,Alimony,.com/{state}/alimony/,alimony in {state},Alimony in {state} | {Brand},{state} Alimony Orders
6,Property Division,.com/{state}/property-division/,property division in {state},Property Division in {state} | {Brand},{state} Property Division
7,Paternity,.com/{state}/paternity/,paternity in {state},Paternity in {state} | {Brand},{state} Paternity
8,Guardianship,.com/{state}/guardianship/,guardianship in {state},Guardianship in {state} | {Brand},{state} Guardianship
9,Adoption,.com/{state}/adoption/,adoption in {state},Adoption in {state} | {Brand},Adoption Process in {state}
10,Pre/Postnup,.com/{state}/prenup-postnup/,prenuptial agreements {state},Prenuptial Agreements in {state} | {Brand},Prenuptial Agreements in {state}
11,Location Hub,.com/{state}/locations/,{brand} office locations {state},{state} Locations & Hours | {Brand},{state} Family Law Office Locations
12,Individual Location Pages,.com/{state}/locations/{city 1}/,{city 1} divorce lawyers,{city 1} Family Law & Divorce Lawyers | {Brand},{city 1} Family Law & Divorce Attorneys
13,Individual Location Pages,.com/{state}/locations/{city 2}/,{city 2} divorce lawyers,{city 2} Family Law & Divorce Lawyers | {Brand},{city 2} Family Law & Divorce Attorneys
14,Individual Location Pages,.com/{state}/locations/{city 3}/,{city 3} divorce lawyers,{city 3} Family Law & Divorce Lawyers | {Brand},{city 3} Family Law & Divorce Attorneys
15,Location Support Pages,.com/{state}/locations/{city 1}/divorce-mediation/,{city 1} divorce mediation,{city 1} Divorce Mediation Lawyers | {Brand},{city 1} Divorce Mediation Attorneys
16,Location Support Pages,.com/{state}/locations/{city 1}/collaborative-divorce/,{city 1} collaborative divorce lawyer,{city 1} Collaborative Divorce Lawyers | {Brand},{city 1} Collaborative Divorce Attorneys
17,Location Support Pages,.com/{state}/locations/{city 1}/uncontested-divorce/,{city 1} uncontested divorce lawyer,{city 1} Uncontested Divorce Lawyers | {Brand},{city 1} Uncontested Divorce Attorneys
18,Location Support Pages,.com/{state}/locations/{city 1}/contested-divorce/,{city 1} contested divorce lawyer,{city 1} Contested Divorce Lawyers | {Brand},{city 1} Contested Divorce Attorneys
19,Location Support Pages,.com/{state}/locations/{city 1}/child-custody/,{city 1} child custody lawyer,{city 1} Child Custody Lawyers | {Brand},{city 1} Child Custody Attorneys
20,Location Support Pages,.com/{state}/locations/{city 1}/child-support/,{city 1} child support lawyer,{city 1} Child Support Lawyers | {Brand},{city 1} Child Support Attorneys
21,Location Support Pages,.com/{state}/locations/{city 1}/alimony/,{city 1} alimony lawyer,{city 1} Spousal Support Lawyers | {Brand},{city 1} Spousal Support Attorneys
22,Location Support Pages,.com/{state}/locations/{city 1}/property-division/,{city 1} property division lawyer,{city 1} Property Division Lawyers | {Brand},{city 1} Property Division Attorneys
23,Location Support Pages,.com/{state}/locations/{city 1}/paternity/,{city 1} paternity lawyer,{city 1} Paternity Lawyers | {Brand},{city 1} Paternity Attorneys
24,Location Support Pages,.com/{state}/locations/{city 1}/military-divorce/,{city 1} military divorce lawyer,{city 1} Military Divorce Lawyers | {Brand},{city 1} Military Divorce Attorneys
25,Location Support Pages,.com/{state}/locations/{city 2}/divorce-mediation/,{city 2} divorce mediation,{city 2} Divorce Mediation Lawyers | {Brand},{city 2} Divorce Mediation Attorneys
26,Location Support Pages,.com/{state}/locations/{city 2}/collaborative-divorce/,{city 2} collaborative divorce lawyer,{city 2} Collaborative Divorce Lawyers | {Brand},{city 2} Collaborative Divorce Attorneys
27,Location Support Pages,.com/{state}/locations/{city 2}/uncontested-divorce/,{city 2} uncontested divorce lawyer,{city 2} Uncontested Divorce Lawyers | {Brand},{city 2} Uncontested Divorce Attorneys
28,Location Support Pages,.com/{state}/locations/{city 2}/contested-divorce/,{city 2} contested divorce lawyer,{city 2} Contested Divorce Lawyers | {Brand},{city 2} Contested Divorce Attorneys
29,Location Support Pages,.com/{state}/locations/{city 2}/child-custody/,{city 2} child custody lawyer,{city 2} Child Custody Lawyers | {Brand},{city 2} Child Custody Attorneys
30,Location Support Pages,.com/{state}/locations/{city 2}/child-support/,{city 2} child support lawyer,{city 2} Child Support Lawyers | {Brand},{city 2} Child Support Attorneys
31,Location Support Pages,.com/{state}/locations/{city 2}/alimony/,{city 2} alimony lawyer,{city 2} Spousal Support Lawyers | {Brand},{city 2} Spousal Support Attorneys
32,Location Support Pages,.com/{state}/locations/{city 2}/property-division/,{city 2} property division lawyer,{city 2} Property Division Lawyers | {Brand},{city 2} Property Division Attorneys
33,Location Support Pages,.com/{state}/locations/{city 2}/paternity/,{city 2} paternity lawyer,{city 2} Paternity Lawyers | {Brand},{city 2} Paternity Attorneys
34,Location Support Pages,.com/{state}/locations/{city 2}/military-divorce/,{city 2} military divorce lawyer,{city 2} Military Divorce Lawyers | {Brand},{city 2} Military Divorce Attorneys
35,Location Support Pages,.com/{state}/locations/{city 3}/divorce-mediation/,{city 3} divorce mediation,{city 3} Divorce Mediation Lawyers | {Brand},{city 3} Divorce Mediation Attorneys
36,Location Support Pages,.com/{state}/locations/{city 3}/collaborative-divorce/,{city 3} collaborative divorce lawyer,{city 3} Collaborative Divorce Lawyers | {Brand},{city 3} Collaborative Divorce Attorneys
37,Location Support Pages,.com/{state}/locations/{city 3}/uncontested-divorce/,{city 3} uncontested divorce lawyer,{city 3} Uncontested Divorce Lawyers | {Brand},{city 3} Uncontested Divorce Attorneys
38,Location Support Pages,.com/{state}/locations/{city 3}/contested-divorce/,{city 3} contested divorce lawyer,{city 3} Contested Divorce Lawyers | {Brand},{city 3} Contested Divorce Attorneys
39,Location Support Pages,.com/{state}/locations/{city 3}/child-custody/,{city 3} child custody lawyer,{city 3} Child Custody Lawyers | {Brand},{city 3} Child Custody Attorneys
40,Location Support Pages,.com/{state}/locations/{city 3}/child-support/,{city 3} child support lawyer,{city 3} Child Support Lawyers | {Brand},{city 3} Child Support Attorneys
41,Location Support Pages,.com/{state}/locations/{city 3}/alimony/,{city 3} alimony lawyer,{city 3} Spousal Support Lawyers | {Brand},{city 3} Spousal Support Attorneys
42,Location Support Pages,.com/{state}/locations/{city 3}/property-division/,{city 3} property division lawyer,{city 3} Property Division Lawyers | {Brand},{city 3} Property Division Attorneys
43,Location Support Pages,.com/{state}/locations/{city 3}/paternity/,{city 3} paternity lawyer,{city 3} Paternity Lawyers | {Brand},{city 3} Paternity Attorneys
44,Location Support Pages,.com/{state}/locations/{city 3}/military-divorce/,{city 3} military divorce lawyer,{city 3} Military Divorce Lawyers | {Brand},{city 3} Military Divorce Attorneys
45,Attorney Hub,.com/{state}/attorneys/,{state} attorneys,{state} Family Law & Divorce Lawyers | {Brand},{state} Family Law & Divorce Attorneys
46,Individual Attorney Pages,.com/{state}/attorneys/{attorney 1 first name - attorney 1 last name}/,attorney {attorney first name 1} {attorney last name 1},Divorce & Family Law Attorney {attorney 1 first name} {attorney 1 last name} | {Brand},Attorney {attorney 1 first name} {attorney 1 last name}
47,Individual Attorney Pages,.com/{state}/attorneys/{attorney 2 first name - attorney 2 last name}/,attorney {attorney first name 2} {attorney last name 2},Divorce & Family Law Attorney {attorney 2 first name} {attorney 2 last name} | {Brand},Attorney {attorney 2 first name} {attorney 2 last name}
48,Individual Attorney Review Pages,.com/{state}/attorneys/{attorney 1 first name - attorney 1 last name}/reviews/,attorney {attorney first name 1} {attorney last name 1} reviews,Reviews: Attorney {attorney 1 first name} {attorney 1 last name} | {Brand},Reviews for Attorney {attorney 1 first name} {attorney 1 last name}
49,Individual Attorney Review Pages,.com/{state}/attorneys/{attorney 2 first name - attorney 2 last name}/reviews/,attorney {attorney first name 2} {attorney last name 2} reviews,Reviews: Attorney {attorney 2 first name} {attorney 2 last name} | {Brand},Reviews for Attorney {attorney 2 first name} {attorney 2 last name}
50,Service Area Hub,.com/{state}/areas/,{brand} service areas {state},{state} Divorce & Custody Lawyers | {Brand},{state} Area Family Law & Divorce Attorneys
51,Individual Service Area Pages (Counties),.com/{state}/areas/{county1}/,{county 1} divorce lawyers,{county 1} Family Law & Divorce Lawyers | {Brand},{county 1} Family Law & Divorce Attorneys
52,Individual Service Area Pages (Counties),.com/{state}/areas/{county2}/,{county 2} divorce lawyers,{county 2} Family Law & Divorce Lawyers | {Brand},{county 2} Family Law & Divorce Attorneys
53,Individual Service Area Pages (Counties),.com/{state}/areas/{county3}/,{county 3} divorce lawyers,{county 3} Family Law & Divorce Lawyers | {Brand},{county 3} Family Law & Divorce Attorneys
54,Individual Service Area Pages (Cities),.com/{state}/areas/{county1}/{city1}/,{service area city 1} divorce lawyers,{city 1} Family Law & Divorce Lawyers | {Brand},{city 1} Family Law & Divorce Attorneys
55,Individual Service Area Pages (Cities),.com/{state}/areas/{county1}/{city2}/,{service area city 2} divorce lawyers,{city 2} Family Law & Divorce Lawyers | {Brand},{city 2} Family Law & Divorce Attorneys
56,Individual Service Area Pages (Cities),.com/{state}/areas/{county1}/{city3}/,{service area city 3} divorce lawyers,{city 3} Family Law & Divorce Lawyers | {Brand},{city 3} Family Law & Divorce Attorneys
57,Procedure Content,.com/{state}/divorce/filing-for-divorce/,how to file for divorce in {state},How to File for Divorce in {state} | {Brand},File for Divorce in {state}
58,Procedure Content,.com/{state}/divorce/annulment/,annulment {state},How to Get an Annulment in {state} | {Brand},How to Get an Annulment in {state}
59,Procedure Content,.com/{state}/divorce/legal-separation/,legal separation {state},Legal Separation in {state} | {Brand},Legal Separation in {state}
60,Procedure Content,.com/{state}/divorce/mediation/,divorce mediation {state},{state} Divorce Mediation | {Brand},{state} Divorce Mediation
61,Procedure Content,.com/{state}/divorce/collaborative/,collaborative divorce {state},{state} Collaborative Divorce | {Brand},How a Collaborative Divorce Works in {state}
62,Procedure Content,.com/{state}/divorce/contested/,contested divorce {state},Contested Divorce in {state} | {Brand},Contested Divorce in {state}
63,Procedure Content,.com/{state}/divorce/uncontested/,uncontested divorce {state},Uncontested Divorce in {state} | {Brand},File an Uncontested Divorce in {state}
64,Procedure Content,.com/{state}/divorce/default/,default divorce {state},Default Divorce in {state} | {Brand},What is a Default Divorce in {state}?
65,Procedure Content,.com/{state}/divorce/summary-dissolution/,simplified divorce {state},Summary Dissolution in {state} | {Brand},Simplified Divorce in {state}
66,Procedure Content,.com/{state}/divorce/how-long/,modify divorce decree {state},Modifying a Divorce Decree in {state} | {Brand},Modifying a Divorce Decree After Finalization
67,Situational Content,.com/{state}/divorce/divorce-costs/,cost of divorce in {state},How Much Does a Divorce Cost in {state}? | {Brand},How Much Does a Divorce Cost in {state}?
68,Situational Content,.com/{state}/divorce/process-duration/,how long does a divorce take in {state},How Long Does A Divorce Take In {state} | {Brand},How Long Does a Divorce Take in {state}?
69,Situational Content,.com/{state}/divorce/child-custody/,child custody and divorce {state},Divorce and Child Custody in {state} | {Brand},Divorce and Child Custody in {state}
70,Situational Content,.com/{state}/divorce/child-support/,divorce and child support {state},Divorce and Child Support in {state} | {Brand},Divorce and Child Support in {state}
71,Situational Content,.com/{state}/divorce/alimony/,alimony in {state},Divorce and Alimony in {state} | {Brand},Getting Alimony during a Divorce in {state}
72,Situational Content,.com/{state}/divorce/property-division/,property division divorce {state},Divorce and Property Division in {state} | {Brand},Property Division in Divorce in {state}
74,Situational Content,.com/{state}/divorce/arbitration-vs-litigation/,arbitration vs litigation,Arbitration vs. Litigation in {state} Divorce | {Brand},Arbitration vs. Litigation in Divorce
75,Situational Content,.com/{state}/divorce/interstate/,interstate divorce {state},Interstate Divorce in {state} | {Brand},How to Handle an Interstate Divorce in {state}
76,Situational Content,.com/{state}/divorce/dating-after/,dating after divorce {state},Dating After Divorce in {state} | {Brand},Dating Again After Divorce in {state}
77,Situational Content,.com/{state}/divorce/international/,international divorce {state},International Divorce in {state} | {Brand},International Divorce Laws in {state}
78,Situational Content,.com/{state}/divorce/narcissist/,divorcing a narcissist {state},Divorcing a Narcissist in {state} | {Brand},How to Divorce a Narcissist in {state}
79,Situational Content,.com/{state}/divorce/marital-abandonment/,marital abandonment {state},Spousal Abandonment Laws in {state} | {Brand},Spousal Abandonment Laws in {state}
80,Situational Content,.com/{state}/divorce/gray-over-50/,gray divorce {state},Gray Divorce in {state} | {Brand},Navigating Gray Divorce in {state}
81,Situational Content,.com/{state}/divorce/social-media/,social media and divorce {state},Social Media and Divorce in {state} | {Brand},Social Media and Divorce: What You Need to Know
82,Legal Description Content,.com/{state}/divorce/laws/,{state} divorce laws,{state} Divorce Laws | {Brand},{state} Divorce Laws
83,Legal Description Content,.com/{state}/divorce-grounds/,grounds for divorce in {state},Grounds For Divorce in {state} | {Brand},Common Reasons People Get Divorced in {state}
84,Legal Description Content,.com/{state}/divorce/no-fault-vs-fault/,fault vs no fault divorce {state},Is {state} a Fault or No Fault Divorce State? | {Brand},Is {state} a Fault or No Fault Divorce State?
85,Legal Description Content,.com/{state}/domestic-violence/protective-orders/,protective order {state},Domestic Violence & Protective Orders in {state} | {Brand},Domestic Violence & Protective Orders in {state}
86,Legal Description Content,.com/{state}/divorce/residency-requirements/,divorce residency requirements {state},{state} Divorce Residency Requirements | {Brand},{state} Divorce Residency Requirements
87,Legal Description Content,.com/{state}/divorce/same-sex-couples-lgbt/,same sex divorce {state},Same-Sex Divorce in {state} | {Brand},Same-Sex Divorce Laws in {state}
88,Legal Description Content,.com/{state}/divorce/tax-implications/,divorce tax implications {state},Tax Implications of Divorce in {state} | {Brand},Tax Implications of Divorce in {state}
89,Procedure Content,.com/{state}/child-custody/modification/,child custody modification {state},Modify Child Custody in {state} | {Brand},Modify Child Custody & Placement in {state}
90,Procedure Content,.com/{state}/child-custody/enforcement/,child custody enforcement {state},Enforce Custody Orders in {state} | {Brand},Enforce Custody Orders in {state}
91,Procedure Content,.com/{state}/child-custody/termination/,terminating parental rights {state},Terminating Parental Rights in {state} | {Brand},Terminating Parental Rights in {state}
92,Procedure Content,.com/{state}/child-custody/temporary-order/,temporary custody order {state},Temporary Custody in {state} | {Brand},Temporary Custody in {state}
93,Situational Content,.com/{state}/child-custody/co-parenting-tools/,co parenting apps approved by {state} courts,{state} Approved Co-Parenting Apps | {Brand},{state} Approved Co-Parenting Apps & Tools
94,Situational Content,.com/{state}/child-custody/parental-alienation/,parental alienation {state} custody,Parental Alienation in {state} | {Brand},Parental Alienation in {state}
95,Situational Content,.com/{state}/child-custody/contempt-of-court-orders/,contempt of court child custody {state},Contempt Of Court With Child Custody in {state} | {Brand},Contempt Of Court With Child Custody
96,Situational Content,.com/{state}/child-custody/parenting-plan-violation/,parenting plan violation {state},Violation Of Parenting Plan in {state} | {Brand},Violation Of Parenting Plan in {state}
97,Situational Content,.com/{state}/child-custody/hearing-preparation/,how to prepare for child custody hearing,How to Prepare for a Child Custody Hearing in {state} | {Brand},How to Prepare for a Child Custody Hearing
98,Situational Content,.com/{state}/child-custody/co-parenting-narcissist/,co parenting with a narcissist {state},Co-Parenting With A Narcissist in {state} | {Brand},Co-Parenting With a Narcissist in {state}
99,Situational Content,.com/{state}/child-custody/co-parenting-difficult-spouse/,co parenting with a difficult ex {state},Co-Parenting with a Difficult Ex in {state} | {Brand},Co-Parenting with a Difficult Ex
100,Situational Content,.com/{state}/child-custody/name-change/,child name change {state},Can I Change Child's Last Name in {state}? | {Brand},Can I Change Child's Last Name in {state}?
101,Situational Content,.com/{state}/child-custody/relocating-children/,relocating with child after divorce {state},Relocating with Children After Divorce in {state} | {Brand},Relocating with Children After Divorce
102,Situational Content,.com/{state}/child-custody/special-needs-children/,special needs child custody {state},Custody for Children with Special Needs in {state} | {Brand},Managing Custody for Children with Special Needs
103,Situational Content,.com/{state}/child-custody/military-families/,military child custody {state},Military Child Custody in {state} | {Brand},Navigating Custody Challenges in Military Families
104,Legal Description Content,.com/{state}/child-custody/50-50-custody/,50/50 custody {state},50/50 Joint Custody Schedules in {state} | {Brand},50/50 Joint Custody and Placement Schedules in {state}
105,Legal Description Content,.com/{state}/child-custody/abandonment-laws/,child abandonment laws {state},Child Abandonment Laws in {state} | {Brand},Child Abandonment Laws in {state}
106,Legal Description Content,.com/{state}/child-custody/co-parenting-agreement/,co parenting agreement {state},Co Parenting in {state} | {Brand},Co-Parenting in {state}
107,Legal Description Content,.com/{state}/child-custody/placement-laws/,child placement laws {state},Child Placement Laws in {state} | {Brand},The Difference Between Custody and Placement in {state}
108,Legal Description Content,.com/{state}/child-custody/role-guardian-ad-litem-gal/,guardian ad litem {state},What Is a Guardian ad Litem in {state}? | {Brand},What Is a Guardian ad Litem and What Do They Do?
109,Legal Description Content,.com/{state}/child-custody/child-preference-age/,what age can a child choose parent in {state},Child's Custody Preference in {state} | {Brand},When Can a Child Choose Which Parent to Live With in {state}?
110,Legal Description Content,.com/{state}/child-custody/laws/,{state} child custody laws,{state} Child Custody Laws | {Brand},{state} Child Custody Laws
111,Legal Description Content,.com/{state}/child-custody/sole-custody/,sole custody {state},Sole and Full Custody in {state} | {Brand},Sole Custody in {state}
112,Legal Description Content,.com/{state}/child-custody/full-custody/,full custody {state},Full Custody in {state} | {Brand},Full Custody in {state}
113,Legal Description Content,.com/{state}/child-custody/grandparent-third-party-visitation/,grandparents visitation rights {state},Grandparents Visitation Rights in {state} | {Brand},Grandparents Rights in {state}
114,Legal Description Content,.com/{state}/child-custody/legal-custody/,legal custody {state},Legal Custody in {state} | {Brand},What is Legal Custody in {state}?
115,Legal Description Content,.com/{state}/child-custody/physical-custody/,physical custody {state},Physical Custody in {state} | {Brand},Physical Custody vs. Legal Custody in {state}
116,Legal Description Content,.com/{state}/child-custody/hybrid-arrangements/,hybrid custody {state},Hybrid Custody Arrangements in {state} | {Brand},Hybrid Custody Arrangements
117,Legal Description Content,.com/{state}/child-custody/joint-custody-vs-sole-custody/,joint custody vs sole custody {state},Joint Custody vs. Sole Custody in {state} | {Brand},Joint Custody vs. Sole Custody in {state}
118,Legal Description Content,.com/{state}/child-custody/unmarried-parents-custody-rights/,unmarried parents custody rights {state},Unmarried Parents Custody Rights in {state} | {Brand},Custody Rights for Unmarried Parents in {state}
119,Legal Description Content,.com/{state}/child-custody/best-interest-of-child/,best interest of the child {state},Best Interest of the Child in {state} | {Brand},Determining the Best Interest of the Child
120,Legal Description Content,.com/{state}/child-custody/visitation-rights-schedule-options/,child visitation schedule {state},Visitation Rights and Schedules in {state} | {Brand},Visitation Rights and Schedules
121,Procedure Content,.com/{state}/child-support/modification/,child support modification {state},Modify {state} Child Support | {Brand},Modify {state} Child Support Orders
122,Procedure Content,.com/{state}/child-support/enforcement/,{state} child support enforcement,Enforce {state} Child Support Orders | {Brand},Enforce {state} Child Support Orders
123,Procedure Content,.com/{state}/child-support/termination/,when does child support end in {state},Child Support Timeline in {state} | {Brand},When Does Child Support End in {state}?
124,Procedure Content,.com/{state}/child-support/how-to-file/,how to file for child support in {state},How to File for Child Support in {state} | {Brand},How to File for Child Support in {state}
125,Situational Content,.com/{state}/child-support/single-parent-support/,single parent help {state},Supporting Kids as a Single Parent in {state} | {Brand},Supporting Kids as a Single Parent in {state}
126,Situational Content,.com/{state}/child-support/self-employed/,child support for self employed in {state},Child Support for Self-Employed Parents in {state} | {Brand},Child Support for Self-Employed Parents
127,Situational Content,.com/{state}/child-support/wage-garnishments/,wage garnishment child support {state},Wage Garnishment for Child Support in {state} | {Brand},Understanding Wage Garnishment for Child Support
128,Situational Content,.com/{state}/child-support/special-needs-children/,child support for special needs child {state},Child Support for Children with Special Needs in {state} | {Brand},Child Support for Children with Special Needs
129,Situational Content,.com/{state}/child-support/military-families/,child support military {state},Child Support for Military Families in {state} | {Brand},Child Support for Military Families
130,Situational Content,.com/{state}/child-support/unemployment-payment-obligations/,child support if unemployed {state},Child Support Payments when Unemployed in {state} | {Brand},Child Support Payments when Unemployed
131,Situational Content,.com/{state}/child-support/no-support-agreement/,can parents waive child support in {state},Can Parents Agree to No Child Support in {state}? | {Brand},Can Parents Agree to No Child Support?
132,Situational Content,.com/{state}/child-support/retroactive/,retroactive child support {state},Retroactive Child Support Orders in {state} | {Brand},Retroactive Child Support Orders
133,Legal Description Content,.com/{state}/child-support/support-end-age/,when does child support end,End {state} Child Support Payments | {Brand},End Court-Ordered Child Support in {state}
134,Legal Description Content,.com/{state}/child-support/laws/,{state} child support laws,{state} Child Support Laws | {Brand},{state} Child Support Laws
135,Legal Description Content,.com/{state}/child-support/documents-required/,documents needed for child support {state},Documentation for Child Support in {state} | {Brand},Documents Required for Child Support Cases
136,Legal Description Content,.com/{state}/child-support/income-shares-vs-percentage/,income shares vs percentage of income,Income Shares vs. Percentage-of-Income Models | {Brand},Income Shares vs. Percentage-of-Income Models in {state}
137,Legal Description Content,.com/{state}/child-support/voluntary-unemployment-obligations,voluntary unemployment and child support {state},Voluntary Unemployment & Child Support in {state} | {Brand},Voluntary Unemployment & Child Support
138,Legal Description Content,.com/{state}/child-support/tax-implications/,is child support taxable in {state},How Child Support Impacts Taxes in {state} | {Brand},Tax Consequences of Child Support in {state}
139,Legal Description Content,.com/{state}/child-support/arrears-penalties/,child support arrears {state},Child Support Arrears and Penalties in {state} | {Brand},Child Support Arrears and Penalties
140,Procedure Content,.com/{state}/alimony/modification/,alimony modification {state},Modify {state} Alimony Orders | {Brand},Modify Alimony Orders in {state}
141,Procedure Content,.com/{state}/alimony/enforcement/,enforce alimony {state},Enforce {state} Alimony Orders | {Brand},Enforce {state} Alimony Orders
142,Procedure Content,.com/{state}/alimony/termination/,terminate alimony {state},{state} Spousal Support Termination | {Brand},Terminate {state} Alimony Orders
143,Procedure Content,.com/{state}/alimony/appeal-court-orders/,alimony appeal {state},Alimony Appeals in {state} | {Brand},Alimony Appeals in {state}
144,Situational Content,.com/{state}/alimony/avoid-paying/,how to avoid paying alimony in {state},How to Avoid Paying Alimony in {state} | {Brand},How to Avoid Paying Alimony in {state}
145,Situational Content,.com/{state}/alimony/post-divorce-budgeting/,post divorce budgeting {state},Budgeting for Post-Divorce Life in {state} | {Brand},Budgeting for Post-Divorce Life
